id,question,answer,tags,,,,,
4,What is an abstract?,"An abstract is a short summary of your research project. It outlines your research question, methods, and key findings or expected outcomes. Think of it as a snapshot that helps reviewers and attendees understand what your project is about. For more abstract guidelines, click here.","[abstract""",research,short summary,"project]""",,
5,What if my research doesn’t fit the theme?,"It’s okay if your research doesn’t perfectly fit the theme. You can think creatively about how your research might relate to it. For example, how could future research incorporate the conference theme to answer important cross-cultural research questions?","[research topic""",theme,"conference theme]""",,,
6,Do I have to give an oral presentation?,"Not necessarily. When you submit your abstract, you’ll be asked if you prefer to give an oral or poster presentation. Poster presentations require you to design and print an A0-sized poster. During the conference, you’ll stand by your poster to answer questions and chat about your research.","[presentation""",oral presentation,"conference]""",,,
7,I want to present but I really dislike public speaking,"You’re not alone as many ACUR presenters are nervous or anxious about presenting. The ACUR community is friendly and supportive, especially for first-time presenters. The focus is on sharing your ideas, not delivering a perfect performance.","[speech""",public speeking,presenters,"first-time]""",,
8,I’m not sure if my research is “good enough”.,"Every submission goes through a peer review process. If your abstract is accepted, that means your work has been reviewed and deemed suitable and engaging for the conference. ","[good research""",peer review,"conference]""",,,
9,Who review the abstracts?,"Abstracts are reviewed by academics and professionals involved in undergraduate research. They consider clarity, originality, relevance, and how effectively the research is communicated.","[abstract""",review abstract,"undergraduate research]""",,,
10,What counts as undergraduate research?,"Any original work you’ve done during your undergraduate degree counts. This could include a class project, literature review, honours thesis, internship research, or supervised research. It doesn’t need to be published or high-impact to be valuable!","[undergraduate research""","undergraduate degree counts]""",,,,
11,What is I get asked questions I don’t know how to answer?,You’re not expected to know everything. It’s okay to say you’ll need to think about it more or look into it further. You can also invite the questioner to share their thoughts. Some of the best conversations come from unexpected questions!,"[knowledge""",know,questioner,question,,
12,My research isn’t finished yet. Can I still present?,"Yes. You can present research that’s in progress. Just make it clear in your abstract and presentation that your findings are preliminary, or that your focus is on your methodology or early insights.","[research progress""",in progress,"not finished]""",,,
13,Can I attend without presenting?,"Absolutely. ACUR welcomes all attendees, whether you’re presenting or just keen to learn and network. It’s a great chance to see what research other students are doing and get inspired.","[attendee""",presentation,"networking]""",,,
14,Do I have to be part of a university research program to submit?,"Not necessarily. As long as you’re an undergraduate student or recently completed your degree, you’re eligible to submit, even if the research was done independently or as part of a course assignment or capstone.","[capstone""",university research,"undergraduate student]""",,,
15,Can I submit group research?,Yes! Group submissions are welcome. You can choose to present as a team or nominate one group member to present on behalf of everyone. Just make sure everyone involved is acknowledged.,"[group research""",group submissions,team,"behalf]""",,
16,I’m in my first year. Can I still apply?,"Yes! While many students present honours or capstone projects, first- and second-year students are very welcome to submit. If you’ve done a class project, literature review, or early-stage research, you can still share your ideas.","[first year""",project,submit,"early-stage research]""",,
17,When should I start preparing my submission?,"As soon as possible! Even if the submission portal isn’t open yet, you can start by drafting your abstract, organising your findings, and checking in with your supervisor or lecturer for support.","[prepare""",when,"submission portal]""",,,
18,Which country do I have to be from to be eligible to submit?,"ACUR is open to all undergraduate students studying at a university or higher education institution in the Australasian region. This includes: Australia, New Zealand, Pacific Island nations, and Southeast Asian countries. ","[eligible""",country,"international student]""",,,
19,Is there a dress code?,"There is no formal dress code. Most people wear smart casual clothing. You do not need to dress formally. Just aim for something neat, tidy, and comfortable. If you are presenting, choose an outfit that helps you feel confident and professional.","[dress code""",wear,"clothing]""",,,
20,Is there a registration fee?,"Information about registration fees are now available on the ACUR website. As some universities may offer to cover or subsidise a portion of the fee for student presenters, it is a good idea to ask your faculty or student services about this. ","[fee""",registration fee,"cost]""",,,
21,Will my travel or accommodation be covered?,"Students are usually responsible for their own travel and accommodation. However, your university may offer funding or small grants to support conference participation. Ask your supervisor or honours coordinator if any assistance is available.","[travel""",cost,budget,accommodation,"cover]""",
22,What should I bring to the conference?,"If you are presenting, bring your poster or a copy of your slides, plus a USB backup just in case. It’s also helpful to have a notebook and pen for notes, and a reusable water bottle.","[bring""",preparation,"prepare]""",,,
