query,gold_id
Can you explain what an abstract is?,1
What should I include in the abstract section?,2
How do I summarise my project for submission?,3
"My project doesn’t really match the theme, can I still submit?",4
Do submissions have to be strictly aligned to the theme?,5
What if my work only loosely connects to the theme?,6
"Am I required to do a talk, or can I just do a poster?",7
Do all presenters have to present orally?,8
Can I choose between oral and poster presentation?,9
What if I’m nervous about presenting?,10
I don’t like speaking in front of people — can I still join?,11
How does ACUR support presenters who are anxious?,12
What if my project isn’t high-quality?,13
How do I know if my work is suitable?,14
What if I think my research isn’t strong enough?,15
Who looks at and approves the abstracts?,16
Who decides whether my abstract is accepted?,17
Who are the reviewers for submissions?,18
Does a class assignment count as research?,19
What kinds of projects qualify as undergrad research?,20
Can literature reviews be submitted as research?,21
What if the audience asks something I can’t respond to?,22
How should I handle tough questions during my presentation?,23
What if I don’t know the answer on the spot?,24
Can I submit if my project is still ongoing?,25
Is unfinished research allowed?,26
Do I have to wait until I have final results?,27
Do I have to present to come to ACUR?,28
Is it possible to just attend as an audience member?,29
Can students join without submitting an abstract?,30
Do I need to be in an official research program?,31
Can I submit work I did in a class project?,32
Is independent research eligible for submission?,33
Are group projects allowed?,34
Can a team submit together?,35
Can one member present on behalf of a group?,36
Are first-year students allowed to submit?,37
Can second-year projects be presented?,38
Do you accept early-stage undergrad research?,39
When is the best time to start preparing?,40
How early should I begin working on my abstract?,41
Should I wait for the portal to open before writing?,42
Is ACUR only for Australian students?,43
Can students from New Zealand or Pacific islands apply?,44
Who is eligible based on location?,45
What should I wear at ACUR?,46
Do I need to dress formally for presenting?,47
Is there an official clothing requirement?,48
Do I have to pay to attend ACUR?,49
What is the registration cost?,50
Will my university cover the registration fee?,51
Does ACUR pay for flights or hotels?,52
Are travel costs included?,53
Who pays for accommodation during the conference?,54
What items should I take with me?,55
Do I need to bring my poster or slides?,56
What materials are useful to have at ACUR?,57
